,GalactoseFeature1,GalactoseFeature2,GalactoseFeature3,GalactoseFeature4,GalactoseFeature5,GalactoseFeature6,GalactoseFeature7,GalactoseFeature8,GalactoseFeature9,GalactoseFeature10,GalactoseFeature11,GalactoseFeature12,GalactoseFeature13,GalactoseFeature14,GalactoseFeature15,GalactoseFeature16,GalactoseFeature17,GalactoseFeature18,GalactoseFeature19,GalactoseFeature20
YAL038W,2,1,2,1,3,3,3,1,3,2,2,2,2,2,3,1,2,2,2,1
YBL021C,2,2,1,2,1,2,2,3,2,1,2,1,3,2,1,2,2,3,3,3
YBL025W,2,2,1,2,1,2,3,2,3,1,3,1,3,1,2,2,2,2,2,3
YBL072C,3,2,3,2,2,3,3,2,1,3,1,2,1,2,1,2,2,2,2,1
YBL087C,3,2,2,2,2,3,3,2,2,3,1,3,1,2,1,2,1,2,2,1
YBR055C,2,3,1,3,1,2,1,2,2,1,3,1,3,2,1,2,2,2,2,3
YBR123C,2,3,1,2,1,3,2,2,3,1,3,1,2,2,2,2,1,2,2,3
YBR181C,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YBR188C,2,2,1,3,1,2,2,3,3,1,2,2,2,2,1,2,3,2,1,3
YBR189W,3,2,2,1,2,3,3,2,2,3,1,2,1,2,1,2,2,3,2,1
YBR191W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YBR193C,2,2,3,2,1,1,2,2,1,1,3,1,2,3,2,2,3,2,2,3
YBR215W,2,2,2,2,1,2,1,2,1,3,1,2,3,2,1,3,3,2,2,3
YBR236C,2,3,1,3,1,2,1,3,2,1,2,1,3,2,2,2,2,2,2,3
YBR253W,2,2,1,3,1,3,2,2,2,1,2,2,3,2,1,1,3,2,2,3
YBR279W,2,3,2,2,1,3,1,2,2,2,3,3,2,2,2,1,1,2,1,3
YCR012W,2,1,3,2,3,1,2,1,3,3,2,2,2,2,3,2,1,2,2,1
YDL030W,3,3,2,2,1,3,2,2,1,1,1,3,2,2,2,2,2,2,1,3
YDL044C,2,3,3,3,1,1,1,2,2,1,1,2,2,2,2,3,2,2,2,3
YDL061C,3,1,2,2,2,3,2,2,2,3,1,3,1,2,1,2,2,3,2,1
YDL075W,3,2,2,2,1,3,2,2,2,3,1,3,1,2,1,2,2,3,2,1
YDL082W,3,2,2,2,2,3,2,2,1,3,1,3,1,2,1,3,2,2,2,1
YDL083C,3,2,2,2,2,3,3,2,2,3,1,3,1,2,1,2,1,2,2,1
YDL136W,3,2,2,2,1,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YDL191W,3,2,2,2,1,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YDL194W,1,1,2,2,2,1,1,2,2,2,1,2,3,3,3,2,2,2,3,3
YDR064W,3,1,2,2,2,2,3,1,2,3,2,3,1,2,1,2,2,3,2,1
YDR073W,1,3,3,2,1,1,1,2,2,1,3,3,2,2,2,2,2,2,2,3
YDR088C,2,3,2,2,1,3,2,2,2,1,2,3,1,2,2,2,1,3,1,3
YDR240C,2,2,2,3,1,1,2,2,2,1,2,1,2,2,1,3,3,3,2,3
YDR243C,2,3,2,3,1,2,2,2,2,2,3,1,1,2,1,3,2,2,1,3
YDR308C,2,3,3,3,1,1,1,2,2,2,1,2,2,2,1,3,2,2,2,3
YDR341C,3,2,3,2,2,3,3,1,2,3,2,2,1,2,1,2,1,2,2,1
YDR342C,1,2,3,2,3,1,1,2,3,1,2,2,2,3,3,2,2,2,2,1
YDR343C,1,2,2,3,3,1,1,2,3,1,2,2,3,2,3,2,2,2,2,1
YDR345C,1,2,2,3,3,1,1,2,3,1,2,2,2,2,3,2,2,3,2,1
YDR397C,2,3,1,2,1,3,2,2,2,2,1,2,1,2,1,2,3,3,2,3
YDR450W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YDR471W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YDR473C,2,3,1,2,1,3,2,3,2,1,1,3,2,2,2,2,2,2,1,3
YDR500C,3,2,2,1,2,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YDR536W,1,2,3,3,2,2,1,2,2,1,1,1,3,3,2,2,2,2,2,3
YEL056W,2,1,3,1,2,2,1,2,2,3,3,2,2,2,3,1,1,2,2,3
YER022W,1,3,1,3,1,2,2,2,2,1,2,2,2,2,1,3,3,2,2,3
YER029C,1,3,3,2,1,1,1,3,2,1,2,2,3,2,2,2,2,2,2,3
YER032W,2,3,1,2,1,1,2,1,2,2,3,1,2,2,2,3,3,2,2,3
YER074W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YER102W,3,2,2,2,2,3,3,2,1,3,1,3,1,2,1,2,2,2,2,1
YER112W,2,3,1,3,1,2,1,2,2,1,2,2,3,2,1,2,3,2,2,3
YER117W,3,1,2,2,2,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
YER131W,3,2,2,2,2,3,2,2,1,3,1,3,1,2,1,2,2,3,2,1
YER159C,2,3,1,3,1,3,2,2,2,1,2,2,2,2,1,2,3,2,1,3
YER162C,1,3,2,2,1,2,1,3,2,1,2,2,2,2,3,2,1,2,3,3
YER169W,1,2,2,3,1,2,2,2,2,1,3,1,2,2,1,2,3,2,3,3
YFL001W,3,3,1,2,1,2,2,2,1,1,2,2,3,2,1,3,3,2,2,2
YFL011W,1,2,2,2,3,1,1,3,3,1,2,2,3,2,2,2,2,2,3,1
YFR037C,2,3,3,3,1,1,1,2,2,2,3,2,2,1,1,2,2,2,2,3
YGL031C,3,2,2,2,1,3,3,2,2,3,1,3,1,2,1,2,2,2,2,1
